,category_id,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
380,MLA1168,"Música, Películas y Series",1221616,Bts Proof Compact Edition 3 Cd + Booklet Nuevo Importado,{'MLA1136201566': 18510},7900,ARS,250,2022-05-07T05:31:17.000Z,Argentina,Capital Federal,3,4.8,201200841
381,MLA1430,Ropa y Accesorios,2166678,Zapatillas Jaguar Oficial Deportiva Art. # 918 Urbana Hombre Y Mujer,{'MLA800264201': 4787138},4174,ARS,13600,2019-07-15T14:24:41.000Z,Argentina,Buenos Aires,Cordones,4.2,278944476
382,MLA409431,Salud y Equipamiento Médico,207391,Kit Tensiometro Digital + Oximetro Dedo Y Termometro Digital,{'MLA1106234512': 507325},6132,ARS,5000,2021-10-01T16:18:28.000Z,Argentina,Capital Federal,Manual,4.6,394109866
383,MLA1540,Servicios,20052,Clases De Manejo Para Motos - Practicas- Examen- Alquiler,{'MLA1124340778': 21016},900,ARS,250,2022-02-20T06:00:59.000Z,Argentina,Capital Federal,No,4.9,178978390
384,MLA9304,"Souvenirs, Cotillón y Fiestas",336901,"Bolsa De 25 Globos Perlados 12 Fiesta, Decoración, Cumple",{'MLA916022485': 57399},780,ARS,5505,2021-04-13T16:52:48.000Z,Argentina,Buenos Aires,Latex,4.3,627469356
385,MLA1953,Otras categorías,460383,Sahumerios Satya Nag Champa - 12 Unidades,{'MLA850751996': 203920},2367,ARS,2042,2020-04-22T00:20:13.000Z,Argentina,Capital Federal,Satya,4.8,191914203
386,MPA1747,Accesorios para Vehículos,19798,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
387,MPA1512,Agro,6,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
388,MPA1367,Arte y Antigüedades,103,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
389,MPA1039,Cámaras Digitales y Foto,15,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
390,MPA1743,"Carros, Motos y Otros",238,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
391,MPA1051,Celulares y Teléfonos,188,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
392,MPA1798,Coleccionables y Hobbies,4,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
393,MPA1648,Computación,267,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
394,MPA1144,Consolas y Videojuegos,42,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
395,MPA1276,Deportes y Fitness,50,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
396,MPA1000,Electrónica Audio Video,107,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
397,MPA1574,Hogar y Electrodomésticos,83,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
398,MPA1459,Inmuebles,5284,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
399,MPA1182,Instrumentos Musicales,55,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
400,MPA1132,Juegos y Juguetes,16,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
401,MPA3025,"Libros, Revistas y Comics",8,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
402,MPA1168,Música y Películas,3,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
