,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
122,Otras categorías,60,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
123,Accesorios para Vehículos,2561135,Impermeable Siliconado Para Motociclista,83437.0,55385.0,COP,1977.0,27-10-2021,Colombia,Bogotá D.C.,puppys y shop,4.3,498209073
124,Agro,9163,"Leonardita, Acondicionador De Suelos",11792.0,72000.0,COP,250.0,15-05-2020,Colombia,Boyaca,Diatomeas Colombia,4.7,138038335
125,Alimentos y Bebidas,166913,Grageas Asquerosas Harry Potter,18012.0,14900.0,COP,500.0,04-10-2021,Colombia,Cundinamarca,Bean Bozzled,0.0,705081417
126,Animales y Mascotas,854477,Fuente De Agua Para Gatos Bebedero Mascotas ,8196.0,98400.0,COP,250.0,06-11-2021,Colombia,Bogotá D.C.,catie,4.8,692301641
127,Antigüedades y Colecciones,137540,Bandera Colombia Nacional 1mtr X1.5mt Exterior Grande,2559.0,24990.0,COP,200.0,02-08-2021,Colombia,Bogotá D.C.,Colombia,4.0,193264204
128,"Arte, Papelería y Mercería",1186450,Calculadora Casio Fx570 Es Plus 2 Generación,12207.0,99900.0,COP,500.0,07-02-2021,Colombia,Bogotá D.C.,RCA502107-001V01,5.0,108866681
129,Bebés,909692,Doble Extractor Leche Materna Eléctrico Real Bubee 2019,153943.0,76000.0,COP,500.0,13-12-2018,Colombia,Valle Del Cauca,Real Bubee,4.6,48335556
130,Belleza y Cuidado Personal,2610914,Máquina recortadora VGR V-228 dorada 100V/240V,0.0,57970.0,COP,2534.0,28-10-2021,Colombia,Bogotá D.C.,VGR,4.8,66208468
131,Boletas para Espectáculos,1008,Manillas Seguridad Papel Tyvek Eventos ( 1.000 Impresas ),2947.0,120000.0,COP,250.0,20-01-2021,Colombia,Bogotá D.C.,Manillas tyvek de seguridad entrada,4.8,166137471
132,Cámaras y Accesorios,451321,Aro De Luz 26 Cm Con Trípode Profesional 2 Metros De Altura,246115.0,41500.0,COP,5000.0,19-08-2020,Colombia,Bogotá D.C.,26,4.6,626158207
133,"Carros, Motos y Otros",45007,not found,0.0,0.0,not found,0.0,00-00-0000,Colombia,not found,not found,0.0,not found
134,Celulares y Teléfonos,1089239,Audífonos in-ear inalámbricos F9-5 negro,0.0,38350.0,COP,10673.0,05-11-2020,Colombia,Valle Del Cauca,Genérica,4.4,1066063779
135,Computación,910182,Disco sólido SSD interno Kingston SA400S37/240G 240GB negro,0.0,120000.0,COP,6603.0,05-04-2022,Colombia,Antioquia,Kingston,4.9,603582371
136,Consolas y Videojuegos,248479,Audífonos gamer Redragon Ares negro y rojo,0.0,46000.0,COP,4488.0,01-09-2020,Colombia,Bogotá D.C.,Redragon,4.9,178562922
137,Construcción,322796,Sonoff! Modulo Inteligente Y Controlador De Luces Y Tomas,191052.0,34900.0,COP,5000.0,26-06-2020,Colombia,Bogotá D.C.,Sonoff,4.8,213078376
138,Deportes y Fitness,1746323,Kit De Pesas Ejercicio Mancuernas Juego De Pesas Termoforrad,236263.0,169900.0,COP,500.0,08-03-2021,Colombia,Cundinamarca,Home Sale,4.3,118807519
139,Electrodomésticos,503411,"Ventilador Samurai Turbo Silence Maxx 3 en 1 turbo blanco con 6 aspas color  gris de  plástico, 18"" de diámetro 110 V",0.0,179900.0,COP,1230.0,16-05-2022,Colombia,Antioquia,Samurai,4.5,348553437
140,"Electrónica, Audio y Video",1061137,Google Chromecast 3.ª generación Full HD carbón,0.0,132900.0,COP,18639.0,27-01-2019,Colombia,Cundinamarca,Google,4.9,478332182
141,Herramientas,1350391,Hidrolavadora Black+Decker PW1450TD naranja/negro con 1512psi de presión máxima 127V,0.0,303800.0,COP,1716.0,29-09-2021,Colombia,Bogotá D.C.,Black+Decker,4.7,205607103
142,Hogar y Muebles,6144537,Dispensador Automático De Agua Para Botellón Recargable,312325.0,19900.0,COP,650.0,03-10-2019,Colombia,Bogotá D.C.,Generic,4.4,61678362
143,Industrias y Oficinas,424374,Tapabocas Kn95 Bolsa Individual - Unidad a $962,39588.0,19249.0,COP,1973.0,15-09-2021,Colombia,Bogotá D.C.,Adultos,4.9,523565962
144,Inmuebles,183661,not found,0.0,0.0,not found,0.0,00-00-0000,Colombia,not found,not found,0.0,not found
145,Instrumentos Musicales,343294,Guitarra Acústica+forro +método+pick De Rasgueo+envío Gratis,335566.0,145000.0,COP,500.0,12-05-2020,Colombia,Santander,No,4.8,528743523
146,Juegos y Juguetes,2815428,Cactus Bailarín Canta Y Imita La Voz Peluche Luces Niños,13848.0,38900.0,COP,5.0,19-10-2021,Colombia,Bogotá D.C.,Cactus,4.6,418664651
